id,feat_0,feat_1,feat_2
0,0.9037600731432018,0.9647541423381405,1.089412255077054
1,1.1367245358242641,0.8795718119732827,0.8055507270754396
2,0.8249533586380471,0.30989381193146426,0.7195288149612811
0,0.18982184692425122,0.6081266853973064,0.6784753041048971
7,1.4217488987557776,0.4578527295215926,0.6224137072351501
9,1.2569890133389552,0.5061606348874903,0.848811663388968
6,0.7995396469637633,0.932794125149068,0.10113442623771314
6,0.4281328903555924,0.47258071570339555,0.8596246554187693
5,1.0929242030041322,0.6453564191751484,0.4361927527998117
5,0.09747787553404187,0.681996027331868,0.831387996022877
4,0.8438359683782893,0.6376697664911842,0.05994555380379723
2,0.04408262876889346,0.28029488021225357,1.2326837822193717
3,1.4898530295762398,0.970869555438123,0.7455145876704955
3,0.5613426249471958,0.3654792420819821,0.11616411693292819
0,0.5590079710552781,0.2133980505370083,0.6867185819375479
5,1.104937013557309,0.22720740336463052,0.10832238116505961
0,1.3883540899829343,0.12142273534804218,0.7717526394456703
2,0.6900907243894512,0.7408121592637908,0.6220008798999954
6,0.31203119032126525,0.5558880038077776,0.9517044768816921
2,0.15328361907314914,0.46013390790374065,1.1898338104652522
1,0.454753809534842,0.6977257578116299,0.5444070833784784
6,0.6777633352773218,0.5905996696920948,0.8388226678512705
5,0.09648655324647022,1.5771888475866074,0.6495244179001828
9,0.2799342541577101,0.1252574414320577,0.935884196588161
1,0.1019362493362645,0.7869422996734106,0.7161103843857848
7,0.05663684993765001,0.434808499146616,0.07484542170903016
2,0.8735651411876235,1.4108464720166458,0.5755030057973903
2,0.5008264389488141,0.9568046289926664,0.5956221719638047
6,0.565762167459606,0.02094369251893571,0.8548366444043314
6,0.024596738826145593,0.4781708890804771,0.896173116868532
5,0.3468157973507532,0.7279505668627655,0.8517477691181663
9,0.16465386967785076,0.3399761996506253,0.041528407977047044
8,0.9504142093479879,0.2411135802101287,0.05967261233558841
3,0.4689744515469128,0.7328304476019019,0.5907607540155567
2,0.3803678141620795,0.09040703317998867,0.4791843444129853
3,0.19624193431179265,0.09004883082940576,0.5504219087123368
9,0.14439352717348358,0.7542198864519507,0.6450003726190298
1,0.6161696177060444,0.6753327086697766,0.06291451104984741
7,0.9230491068044869,0.6593511114053017,0.13469551555991843
1,0.5219770181890294,0.1276209429168817,0.9620182805548393
7,0.8558881739735081,0.876410645287133,0.4436013995465615
1,0.04055550471797024,0.1537425522598196,0.6740807962556534
0,0.6146649372631345,0.7821453089910424,0.3459844384547059
8,0.9734522809465692,0.6866645318839664,0.2973276727165509
9,0.8783491353836208,0.36675231801386854,0.11911410050230511
0,0.9860387785189034,0.6549833259428303,0.7451015797755485
8,0.3573162813287324,0.5529204084246115,0.5117559200824763
0,0.45030705002440974,0.47471155259226805,0.4043607787983603
3,0.16690939222806547,0.28620316561571135,0.21550505388055707
7,0.6352268099791732,0.44986855014459,1.0056321696761072
1,0.8443938536175799,0.6065321512918003,0.8553674924497491
5,0.9951837128840042,0.2687329042011087,0.550298028788931
7,0.6134839675131498,0.852032408072142,0.2082083723637005
